stimulus,aggressive,attractive,caring,confident,dominant,emot_stable,intelligent,mean,responsible,sociable,trustworthy,unhappy,weird
AM17NES,1.569625884,-0.404156698,-0.551477271,0.71739836,1.441703603,0.191753544,0.815969768,0.280134936,-0.201728783,-0.331803009,-0.526646115,1.099495686,-0.419605415
AM18NES,-1.087712333,-0.468587476,0.804779379,0.026289754,-1.403426642,0.633820099,0.319484909,-1.117215218,0.004691367,0.528562804,0.689434147,-1.359776969,-0.103922999
AM21NES,0.864409203,-0.958261389,-1.243444949,-0.385434523,0.509678178,-0.149269226,0.24647243,0.5341986,-0.485556489,-1.501362786,-0.833617832,0.54222208,0.230891684
AM22NES,-0.137202894,-0.442815165,-0.814424989,-1.473562967,-1.072312346,-0.755531929,0.42170238,-0.366572573,-0.25333382,-1.16528239,0.028264296,1.293329984,0.001304473
AM23NES,-0.004335983,1.541652796,-0.330047614,0.790920552,0.607786118,0.21701449,0.655342314,-0.158702303,1.15290345,0.851199984,1.244344558,1.14795426,-1.567541474
AM24NES,-0.627788411,-0.365498231,-0.177814725,-0.385434523,-0.900623452,0.191753544,0.582329834,-0.620636238,-0.111419967,-0.439348736,0.347042617,-0.7298155,0.288288487
AM25NES,-0.23940821,-0.288181298,-0.025581835,0.143925261,-0.373293277,0.103340233,1.19563466,-0.239540741,-0.588766564,-0.7485427,-0.479419697,-0.947879086,0.096965811
AM26NES,0.598675381,0.497874193,-0.025581835,0.570353976,0.742684534,1.000103815,0.84517476,-0.008573774,1.010989597,-0.022609045,0.760273774,0.287814564,-1.003139578
AM27NES,0.01610508,-0.971147544,-0.12245731,-1.194178637,-0.925150437,-1.046032808,-0.994739717,-0.008573774,-0.65327286,-0.58722411,-0.455806488,1.499278925,0.479611164
AM28NES,1.958006085,1.696286664,-0.011742482,1.996684505,1.932243301,0.621189626,-1.111559684,0.822907309,0.172407739,1.160393948,-0.06618854,1.232756766,-1.10836705
AM29NES,1.058599304,1.206612751,-0.579155978,1.232053706,1.944506793,0.81064672,0.684547305,0.476456858,0.417531667,0.972188927,0.217169967,-0.414834766,-1.366652663
AM30NES,-0.157643957,-0.893830611,-0.136296664,-2.032331628,-0.311975815,-0.667118618,0.465509868,-0.505152754,0.082098923,-0.802315563,-0.396773466,2.529023633,0.116098079
AM31NES,-1.00594808,0.497874193,1.040048389,0.849738306,-0.299712323,1.821084559,-0.045577487,-1.105666869,1.320619822,1.18728038,1.527703065,-1.214401245,-1.529276938
AM32NES,-0.23940821,-1.370618368,-0.994336585,-2.649918043,-2.323188575,-2.056470646,-2.133734393,-1.255795398,-2.549757986,-1.64923816,-1.542014101,1.596196074,2.201515251
AM33NES,1.630949073,-1.035578322,-1.976930688,-0.444252277,-0.005388504,-1.033402335,-0.10398747,0.707423825,-1.736978647,-1.219055254,-1.978858467,1.026807824,1.072711461
AM34NES,1.906903427,-0.120661275,-0.772906928,0.232151892,1.539811543,-0.59133578,-0.191602445,0.846004006,-0.704877898,-0.224257282,-0.621098951,1.378132489,0.030002874
AM35NES,-0.362054589,-0.468587476,0.029775579,-0.135459069,-0.091232951,0.633820099,0.611534826,-0.077863864,-0.304938858,0.098379898,-0.030768727,-1.081140165,0.087399677
